id,district_id,line,lat,lng
ADDR-0001,KA-BLR-URB,98 Main Rd,12.937755,77.557149
ADDR-0002,KA-DKA-CST,12 Station Rd,12.877546,74.975223
ADDR-0003,KA-DKA-CST,21 Market Rd,12.936181,74.904304
ADDR-0004,KA-DKA-CST,148 Cross St,12.911214,74.789765
ADDR-0005,KA-BLR-URB,198 Market Rd,13.088053,77.679876
ADDR-0006,KA-BLR-URB,98 Market Rd,12.960418,77.674787
ADDR-0007,KA-BLR-URB,95 Market Rd,12.901882,77.538675
ADDR-0008,KA-KLB-NIP,166 Main Rd,17.362439,76.735642
ADDR-0009,KA-KLB-NIP,63 Cross St,17.318378,76.765284
ADDR-0010,KA-KLB-NIP,177 Cross St,17.385084,76.937156
ADDR-0011,KA-BLR-URB,59 Main Rd,13.044811,77.57088
ADDR-0012,KA-BLR-URB,55 Market Rd,12.90263,77.594416
ADDR-0013,KA-KLB-NIP,118 Cross St,17.259164,76.758288
ADDR-0014,KA-KLB-NIP,138 Market Rd,17.403804,76.81283
ADDR-0015,KA-KLB-NIP,103 Market Rd,17.245496,76.983561
ADDR-0016,KA-KLB-NIP,127 Main Rd,17.406435,76.942631
ADDR-0017,KA-BLR-URB,161 Cross St,13.041699,77.575918
ADDR-0018,KA-BLR-URB,99 Station Rd,12.994613,77.586932
ADDR-0019,KA-DKA-CST,142 Main Rd,12.906357,74.80351
ADDR-0020,KA-KLB-NIP,193 Market Rd,17.41028,76.786353
ADDR-0021,KA-DKA-CST,112 Cross St,12.861045,74.971363
ADDR-0022,KA-KLB-NIP,68 Cross St,17.332005,76.716223
ADDR-0023,KA-KLB-NIP,77 Cross St,17.225552,76.913053
ADDR-0024,KA-KLB-NIP,200 Main Rd,17.359383,76.830882
ADDR-0025,KA-BLR-URB,93 Market Rd,12.909069,77.532409
ADDR-0026,KA-KLB-NIP,21 Main Rd,17.399272,76.929107
ADDR-0027,KA-KLB-NIP,197 Cross St,17.218217,76.826885
ADDR-0028,KA-KLB-NIP,43 Market Rd,17.338002,76.866278
ADDR-0029,KA-BLR-URB,139 Cross St,13.022708,77.570358
ADDR-0030,KA-KLB-NIP,167 Market Rd,17.31113,76.839573
ADDR-0031,KA-BLR-URB,64 Cross St,12.866966,77.479648
ADDR-0032,KA-KLB-NIP,59 Cross St,17.181857,76.896652
ADDR-0033,KA-BLR-URB,59 Main Rd,13.068901,77.680912
ADDR-0034,KA-BLR-URB,132 Cross St,12.918435,77.591099
ADDR-0035,KA-KLB-NIP,34 Station Rd,17.252599,76.826192
ADDR-0036,KA-DKA-CST,49 Main Rd,12.789686,74.86681
ADDR-0037,KA-DKA-CST,106 Station Rd,12.943067,74.791434
ADDR-0038,KA-KLB-NIP,166 Main Rd,17.197884,76.902764
ADDR-0039,KA-BLR-URB,64 Cross St,12.89725,77.582267
ADDR-0040,KA-DKA-CST,47 Market Rd,12.862826,74.955497
