id,district_id,status
CASE-00001,KA-BLR-URB,closed
CASE-00002,KA-KLB-NIP,open
CASE-00003,KA-KLB-NIP,under_investigation
CASE-00004,KA-DKA-CST,closed
CASE-00005,KA-BLR-URB,open
CASE-00006,KA-KLB-NIP,closed
CASE-00007,KA-KLB-NIP,closed
CASE-00008,KA-KLB-NIP,closed
CASE-00009,KA-BLR-URB,open
CASE-00010,KA-DKA-CST,under_investigation
CASE-00011,KA-BLR-URB,closed
CASE-00012,KA-DKA-CST,under_investigation
CASE-00013,KA-DKA-CST,open
CASE-00014,KA-BLR-URB,under_investigation
CASE-00015,KA-KLB-NIP,open
CASE-00016,KA-KLB-NIP,open
CASE-00017,KA-DKA-CST,under_investigation
CASE-00018,KA-BLR-URB,under_investigation
CASE-00019,KA-DKA-CST,open
CASE-00020,KA-BLR-URB,open
CASE-00021,KA-DKA-CST,open
CASE-00022,KA-KLB-NIP,open
CASE-00023,KA-DKA-CST,under_investigation
CASE-00024,KA-DKA-CST,under_investigation
CASE-00025,KA-KLB-NIP,closed
CASE-00026,KA-DKA-CST,closed
CASE-00027,KA-DKA-CST,open
CASE-00028,KA-DKA-CST,under_investigation
CASE-00029,KA-BLR-URB,closed
CASE-00030,KA-BLR-URB,under_investigation
CASE-00031,KA-KLB-NIP,under_investigation
CASE-00032,KA-BLR-URB,open
CASE-00033,KA-DKA-CST,closed
CASE-00034,KA-DKA-CST,under_investigation
CASE-00035,KA-DKA-CST,open
CASE-00036,KA-DKA-CST,under_investigation
CASE-00037,KA-DKA-CST,under_investigation
CASE-00038,KA-KLB-NIP,under_investigation
CASE-00039,KA-DKA-CST,open
CASE-00040,KA-DKA-CST,under_investigation
CASE-00041,KA-DKA-CST,closed
CASE-00042,KA-DKA-CST,under_investigation
CASE-00043,KA-KLB-NIP,closed
CASE-00044,KA-DKA-CST,closed
CASE-00045,KA-BLR-URB,under_investigation
CASE-00046,KA-BLR-URB,under_investigation
CASE-00047,KA-DKA-CST,open
CASE-00048,KA-DKA-CST,open
CASE-00049,KA-DKA-CST,under_investigation
CASE-00050,KA-DKA-CST,under_investigation
CASE-00051,KA-DKA-CST,closed
CASE-00052,KA-KLB-NIP,under_investigation
CASE-00053,KA-BLR-URB,closed
CASE-00054,KA-BLR-URB,open
CASE-00055,KA-KLB-NIP,under_investigation
CASE-00056,KA-DKA-CST,open
CASE-00057,KA-DKA-CST,open
CASE-00058,KA-KLB-NIP,closed
CASE-00059,KA-BLR-URB,under_investigation
CASE-00060,KA-BLR-URB,closed
