id,source_id,target_id,edge_type,weight
EDGE-00001,SUS-0001,SUS-0002,shared_address_or_vehicle,0.9
EDGE-00002,SUS-0002,SUS-0003,shared_address_or_vehicle,0.9
EDGE-00003,SUS-0003,SUS-0004,shared_address_or_vehicle,0.9
EDGE-00004,SUS-0004,SUS-0005,shared_address_or_vehicle,0.9
EDGE-00005,SUS-0001,SUS-0005,co_arrest,0.7
EDGE-00006,SUS-0011,SUS-0012,shared_address_or_vehicle,0.9
EDGE-00007,SUS-0012,SUS-0013,shared_address_or_vehicle,0.9
EDGE-00008,SUS-0013,SUS-0014,shared_address_or_vehicle,0.9
EDGE-00009,SUS-0011,SUS-0014,co_arrest,0.7
EDGE-00010,SUS-0021,SUS-0022,shared_address_or_vehicle,0.9
EDGE-00011,SUS-0022,SUS-0023,shared_address_or_vehicle,0.9
EDGE-00012,SUS-0021,SUS-0023,co_arrest,0.7
EDGE-00013,INC-00656,INC-00657,mo_similarity,0.95
EDGE-00014,SUS-0045,SUS-0044,co_incident,0.29
EDGE-00015,SUS-0044,SUS-0026,co_incident,0.26
EDGE-00016,SUS-0006,SUS-0009,co_incident,0.13
EDGE-00017,SUS-0013,SUS-0008,co_incident,0.26
EDGE-00018,SUS-0045,SUS-0013,co_incident,0.27
EDGE-00019,SUS-0014,SUS-0031,co_incident,0.23
EDGE-00020,SUS-0042,SUS-0016,co_incident,0.19
EDGE-00021,SUS-0041,SUS-0035,co_incident,0.14
EDGE-00022,SUS-0020,SUS-0050,co_incident,0.19
EDGE-00023,SUS-0031,SUS-0028,co_incident,0.1
EDGE-00024,SUS-0011,SUS-0010,co_incident,0.25
EDGE-00025,SUS-0029,SUS-0032,co_incident,0.19
EDGE-00026,SUS-0029,SUS-0038,co_incident,0.15
EDGE-00027,SUS-0019,SUS-0037,co_incident,0.27
EDGE-00028,SUS-0026,SUS-0004,co_incident,0.17
