id,district_id,name,lat,lng
KA-BLR-URB-ST01,KA-BLR-URB,Bengaluru Urban PS 1,13.005062,77.480603
KA-BLR-URB-ST02,KA-BLR-URB,Bengaluru Urban PS 2,12.917607,77.528171
KA-BLR-URB-ST03,KA-BLR-URB,Bengaluru Urban PS 3,13.028353,77.637008
KA-BLR-URB-ST04,KA-BLR-URB,Bengaluru Urban PS 4,13.065723,77.495465
KA-BLR-URB-ST05,KA-BLR-URB,Bengaluru Urban PS 5,12.952861,77.481751
KA-BLR-URB-ST06,KA-BLR-URB,Bengaluru Urban PS 6,12.904073,77.595885
KA-DKA-CST-ST01,KA-DKA-CST,Dakshina Kannada PS 1,12.775607,74.820368
KA-DKA-CST-ST02,KA-DKA-CST,Dakshina Kannada PS 2,12.900277,74.889588
KA-DKA-CST-ST03,KA-DKA-CST,Dakshina Kannada PS 3,12.814388,74.898453
KA-DKA-CST-ST04,KA-DKA-CST,Dakshina Kannada PS 4,12.932186,74.7819
KA-KLB-NIP-ST01,KA-KLB-NIP,Kalaburagi PS 1,17.421446,76.893742
KA-KLB-NIP-ST02,KA-KLB-NIP,Kalaburagi PS 2,17.281775,76.730944
KA-KLB-NIP-ST03,KA-KLB-NIP,Kalaburagi PS 3,17.466864,76.785278
