id,plate,type
VEH-0001,KA44D2684,auto
VEH-0002,KA50G3532,car
VEH-0003,KA56C3900,van
VEH-0004,KA02C6442,van
VEH-0005,KA52D5371,car
VEH-0006,KA51B7267,two_wheeler
VEH-0007,KA55H4644,car
VEH-0008,KA53H6728,auto
VEH-0009,KA53D4652,two_wheeler
VEH-0010,KA43D7528,auto
VEH-0011,KA18B5573,auto
VEH-0012,KA42G9785,auto
VEH-0013,KA02B5279,car
VEH-0014,KA38E1626,two_wheeler
VEH-0015,KA39G6663,auto
VEH-0016,KA28B7311,car
VEH-0017,KA17A8144,two_wheeler
VEH-0018,KA34D6967,van
VEH-0019,KA05F6143,two_wheeler
VEH-0020,KA47E9308,auto
VEH-0021,KA43G6344,van
VEH-0022,KA45E3085,car
VEH-0023,KA27G3851,auto
VEH-0024,KA26A5978,auto
VEH-0025,KA14G6279,van
VEH-0026,KA29H4501,van
VEH-0027,KA51C2389,auto
VEH-0028,KA33F2530,car
VEH-0029,KA44E4680,car
VEH-0030,KA10A1757,car
